CustomerID,recency,frequency,monetary
12346.0,325,1,77183
12747.0,2,103,4196
12748.0,0,4596,33719
12749.0,3,199,4090
12820.0,3,59,942
12821.0,214,6,92
12822.0,70,46,948
12823.0,74,5,1759
12824.0,59,25,397
12826.0,2,91,1474
12827.0,5,25,430
12828.0,2,56,1018
12829.0,336,11,293
12830.0,37,38,6814
12831.0,262,9,215
12832.0,32,27,383
12833.0,145,24,417
12834.0,282,18,312
12836.0,59,175,2612
12837.0,173,12,134
12838.0,33,123,683
12839.0,2,314,5591
12840.0,143,113,2726
12841.0,4,420,4022
12842.0,70,34,1118
12843.0,65,103,1702
12844.0,29,52,325
12845.0,267,27,354
12847.0,22,91,871
12849.0,31,51,1050
12851.0,96,50,135
12852.0,294,17,311
12853.0,134,78,1957
12854.0,78,110,1324
12855.0,372,3,38
12856.0,7,314,2179
12857.0,210,46,1106
12863.0,52,5,521
12864.0,138,3,147
12867.0,26,538,4036
12868.0,185,107,1607
12871.0,84,11,380
12872.0,326,66,599
12873.0,282,4,374
12875.0,143,2,343
12877.0,3,154,1535
12878.0,236,47,854
12879.0,44,10,573
12881.0,275,7,298
12882.0,9,13,1463
12883.0,24,42,703
12884.0,88,7,309
12885.0,63,71,1175
12886.0,67,82,1378
12888.0,214,5,354
12890.0,24,82,380
12891.0,185,3,331
12893.0,30,34,188
12895.0,42,22,372
12897.0,204,4,216
12901.0,8,116,17654
12902.0,264,10,138
12904.0,18,72,509
12906.0,11,63,2919
12908.0,176,2,750
12909.0,39,91,2178
12910.0,23,75,3075
12912.0,2,24,1662
12913.0,4,50,2483
12915.0,148,22,363
12916.0,138,107,3006
12917.0,128,2,594
12919.0,8,50,1335
12920.0,17,28,164
12921.0,9,720,16587
12922.0,161,28,405
12923.0,64,29,176
12924.0,88,30,933
12925.0,4,45,694
12928.0,35,84,2062
12929.0,311,8,117
12930.0,78,25,415
12931.0,21,82,42055
12933.0,24,106,607
12935.0,2,129,2160
12936.0,17,62,1063
12937.0,15,120,1504
12938.0,25,9,114
12939.0,64,47,11581
12940.0,54,99,913
12942.0,131,75,683
12944.0,35,30,604
12945.0,288,23,462
12947.0,143,97,1603
12948.0,16,116,2064
12949.0,30,215,4167
12950.0,2,23,1843
12951.0,8,63,1064
12952.0,5,79,1387
12953.0,9,17,329
12955.0,1,180,4757
12956.0,306,19,108
12957.0,9,238,4017
12962.0,7,16,266
12963.0,8,95,1856
12965.0,89,109,771
12966.0,9,10,160
12967.0,358,19,1660
12968.0,112,5,135
12970.0,7,151,452
12971.0,3,305,11189
12974.0,197,8,144
12976.0,211,22,738
12977.0,156,9,39
12980.0,157,20,7374
12981.0,29,20,372
12982.0,242,28,390
